epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,110.965,1.6397,0.91448,0.9819,0.319,0.00333062,0.00333062,0.00333062
2,231.873,0.3695,0.95749,0.99542,0.14717,0.006532,0.006532,0.006532
3,343.582,0.35066,0.93136,0.99095,0.24516,0.00960139,0.00960139,0.00960139
4,458.65,0.31901,0.97702,0.99624,0.08784,0.009406,0.009406,0.009406
5,575.518,0.1972,0.98271,0.99797,0.06209,0.009208,0.009208,0.009208
6,692.998,0.14762,0.98993,0.99847,0.03776,0.00901,0.00901,0.00901
7,805.626,0.12331,0.99512,0.99847,0.02531,0.008812,0.008812,0.008812
8,921.146,0.1075,0.99522,0.99888,0.02646,0.008614,0.008614,0.008614
9,1039.3,0.09969,0.99654,0.99888,0.02153,0.008416,0.008416,0.008416
10,1156.97,0.08914,0.99553,0.99929,0.02114,0.008218,0.008218,0.008218
11,1269.51,0.08215,0.99766,0.99939,0.01448,0.00802,0.00802,0.00802
12,1388.53,0.07516,0.99837,0.99939,0.0142,0.007822,0.007822,0.007822
13,1508.4,0.07359,0.99766,0.99939,0.01559,0.007624,0.007624,0.007624
14,1622.32,0.06467,0.99807,0.99929,0.01372,0.007426,0.007426,0.007426
15,1742.36,0.06172,0.99858,0.99959,0.01309,0.007228,0.007228,0.007228
16,1863.39,0.0644,0.99827,0.99949,0.01337,0.00703,0.00703,0.00703
17,1979.91,0.06603,0.99858,0.99949,0.0118,0.006832,0.006832,0.006832
18,2090.95,0.04692,0.99868,0.99959,0.01189,0.006634,0.006634,0.006634
19,2204.09,0.0548,0.99878,0.99959,0.01247,0.006436,0.006436,0.006436
20,2322.33,0.05299,0.99827,0.99939,0.01189,0.006238,0.006238,0.006238
21,2440.06,0.04774,0.99847,0.99959,0.01152,0.00604,0.00604,0.00604
22,2555.79,0.04352,0.99888,0.99959,0.01093,0.005842,0.005842,0.005842
23,2674.65,0.04288,0.99878,0.99959,0.01108,0.005644,0.005644,0.005644
24,2790.34,0.04342,0.99888,0.99959,0.01112,0.005446,0.005446,0.005446
25,2910.66,0.03826,0.99888,0.99959,0.01084,0.005248,0.005248,0.005248
26,3124.3,0.03501,0.99888,0.99959,0.01062,0.00505,0.00505,0.00505
27,3235.61,0.03449,0.99908,0.99959,0.01043,0.004852,0.004852,0.004852
28,3351.43,0.03163,0.99919,0.99959,0.01029,0.004654,0.004654,0.004654
29,3463.63,0.02758,0.99919,0.99959,0.01028,0.004456,0.004456,0.004456
30,3578.14,0.03058,0.99908,0.99959,0.01018,0.004258,0.004258,0.004258
31,3692.3,0.02307,0.99898,0.99959,0.01,0.00406,0.00406,0.00406
32,3811.14,0.02596,0.99908,0.99959,0.00991,0.003862,0.003862,0.003862
33,3923.98,0.0231,0.99908,0.99959,0.00976,0.003664,0.003664,0.003664
34,4035.86,0.02022,0.99919,0.99959,0.0097,0.003466,0.003466,0.003466
35,4147.45,0.01781,0.99929,0.99959,0.00956,0.003268,0.003268,0.003268
36,4259.92,0.01462,0.99929,0.99959,0.00948,0.00307,0.00307,0.00307
37,5084.25,0.01406,0.99939,0.99959,0.00939,0.002872,0.002872,0.002872
38,5194.11,0.01343,0.99939,0.99959,0.00926,0.002674,0.002674,0.002674
39,5304.79,0.01297,0.99939,0.99959,0.00915,0.002476,0.002476,0.002476
40,5414.84,0.01068,0.99939,0.99959,0.00912,0.002278,0.002278,0.002278
41,5565.53,0.0114,0.99939,0.99959,0.00904,0.00208,0.00208,0.00208
42,5676.34,0.00954,0.99939,0.99959,0.00897,0.001882,0.001882,0.001882
43,5787.88,0.00736,0.99939,0.99959,0.00886,0.001684,0.001684,0.001684
44,5899.85,0.00799,0.99939,0.99959,0.00877,0.001486,0.001486,0.001486
45,6011.22,0.00663,0.99939,0.99959,0.00871,0.001288,0.001288,0.001288
46,6122.3,0.00559,0.99939,0.99959,0.00866,0.00109,0.00109,0.00109
47,6234.17,0.0059,0.99929,0.99959,0.00859,0.000892,0.000892,0.000892
48,6345.99,0.00524,0.99929,0.99959,0.00853,0.000694,0.000694,0.000694
49,6457.51,0.0043,0.99929,0.99959,0.00847,0.000496,0.000496,0.000496
50,6569.18,0.00409,0.99929,0.99959,0.00843,0.000298,0.000298,0.000298
